1
愤怒！世间怎有如此忘恩负义之人！这位老人九十多岁了，家人平时给他吃剩下的饭菜，还让他干活，他给家里人洗衣服，不小心把衣服洗坏了，他儿子就打他骂他，还让他跪一天.如果你们有谁觉得他儿子连畜生都不如的请转发,告诫我们一定要做孝顺的子女,有爸妈的请转发,没有良心就算了.可怜天下父母心呐！
[0.5059281587600708, 0.5450109839439392, 0.47130855917930603, 0.4053584933280945, 0.556378960609436]
[0.49769333004951477, 0.544499397277832, 0.3837123215198517, 0.24029196798801422, 0.5322815775871277]
[0.535337507724762, 0.5927966833114624, 0.4051937460899353, 0.26235613226890564, 0.5578676462173462]
[0.4360277056694031, 0.5782686471939087, 0.46378985047340393, 0.29673147201538086, 0.47709718346595764]
[0.4939057528972626, 0.6053284406661987, 0.4394465684890747, 0.26455408334732056, 0.517261266708374]
[0.4737333059310913, 0.6044455170631409, 0.43854159116744995, 0.27192071080207825, 0.49753108620643616]
[0.45621421933174133, 0.5672621726989746, 0.4482031464576721, 0.284879207611084, 0.4726330041885376]
[0.46967238187789917, 0.5398204922676086, 0.472383975982666, 0.3984588384628296, 0.5394797325134277]
[0.426023006439209, 0.5821796655654907, 0.44503647089004517, 0.30695414543151855, 0.4829616844654083]
[0.4720107913017273, 0.5752714276313782, 0.4731581211090088, 0.31663140654563904, 0.4808107912540436]
[0.49241000413894653, 0.5578970313072205, 0.4460734724998474, 0.2967486083507538, 0.5343418717384338]
[0.43738415837287903, 0.5719547271728516, 0.43069174885749817, 0.28993654251098633, 0.5091231465339661]
[0.3861103653907776, 0.5626804232597351, 0.42905399203300476, 0.2910979092121124, 0.48848703503608704]
[0.5404128432273865, 0.5823633670806885, 0.4184034764766693, 0.2794688045978546, 0.539771318435669]
[0.5404128432273865, 0.5823633670806885, 0.4184034764766693, 0.2794688045978546, 0.539771318435669]
[0.4916982352733612, 0.5634599328041077, 0.4300013780593872, 0.29560568928718567, 0.5570305585861206]
[0.516481339931488, 0.5917481184005737, 0.4435672461986542, 0.2787536084651947, 0.5294630527496338]
[0.4841344952583313, 0.5287888050079346, 0.4823712706565857, 0.33639824390411377, 0.4919900894165039]
[0.38143885135650635, 0.550812304019928, 0.4596295952796936, 0.3199440836906433, 0.4662696123123169]
[0.43686699867248535, 0.5746921896934509, 0.4380129277706146, 0.29234278202056885, 0.492902547121048]
[0.4684757888317108, 0.5500278472900391, 0.4442821741104126, 0.32818591594696045, 0.47724995017051697]
[0.5768586993217468, 0.5464792847633362, 0.39131131768226624, 0.27436354756355286, 0.5786154270172119]
[0.5376839637756348, 0.5504174828529358, 0.4111894369125366, 0.2803829312324524, 0.5411157608032227]
[0.5575386881828308, 0.590592086315155, 0.4227707087993622, 0.2770247459411621, 0.5518327951431274]
[0.49145153164863586, 0.5940555334091187, 0.44874656200408936, 0.28586074709892273, 0.5164720416069031]
[0.5156635642051697, 0.5744675993919373, 0.426885187625885, 0.27583974599838257, 0.54733806848526]
[0.49687880277633667, 0.527914822101593, 0.49863189458847046, 0.41045522689819336, 0.534320592880249]
[0.5228846669197083, 0.5693838596343994, 0.4478279650211334, 0.341580331325531, 0.5065653920173645]
[0.3525565266609192, 0.5549966096878052, 0.4557444751262665, 0.29298844933509827, 0.43208077549934387]
[0.5081751346588135, 0.5677473545074463, 0.4336957335472107, 0.2865818440914154, 0.5330886244773865]
[0.5292511582374573, 0.5642051100730896, 0.40630674362182617, 0.2638668715953827, 0.5336395502090454]
[0.4472513198852539, 0.5217337608337402, 0.5194762349128723, 0.37704694271087646, 0.49852949380874634]
[0.4426041841506958, 0.5754418969154358, 0.4552221894264221, 0.30565062165260315, 0.4876527190208435]
[0.46759727597236633, 0.5781832933425903, 0.44714441895484924, 0.27730637788772583, 0.5216577649116516]
[0.4351349472999573, 0.553233802318573, 0.4287388324737549, 0.31223511695861816, 0.4957211911678314]
[0.5675721764564514, 0.5936997532844543, 0.4046644866466522, 0.25933554768562317, 0.5682356357574463]
[0.5368569493293762, 0.5609885454177856, 0.43481168150901794, 0.2913879454135895, 0.5641205906867981]
[0.42913326621055603, 0.5741631388664246, 0.4451490640640259, 0.2976565659046173, 0.4664037823677063]
[0.5294933319091797, 0.5802410244941711, 0.41975730657577515, 0.28358229994773865, 0.5602807402610779]
[0.516481339931488, 0.5917481184005737, 0.4435672461986542, 0.2787536084651947, 0.5294630527496338]
[0.4751303493976593, 0.562609076499939, 0.4565504193305969, 0.29747694730758667, 0.4817509055137634]
[0.46235620975494385, 0.5552836656570435, 0.4459286332130432, 0.30777326226234436, 0.48417046666145325]
[0.4911853075027466, 0.5595614910125732, 0.45345112681388855, 0.2894078493118286, 0.5138352513313293]
[0.515039324760437, 0.577570915222168, 0.42854437232017517, 0.2780945897102356, 0.5080845355987549]
