1
当需要论证中国牛逼时,他们说：“中国有五千年的历史文明，美国才区区两百多年,美国算什么？”当需要论证中国不适合与美国等国家接轨时,他们说：“国情不同,再说中国才发展了六十年，美国都已经两百多年了，怎么比啊？”在如此＂伟大＂的唯物变戏法面前，时间真可怜，历史真可怜，真理真可怜！--赵晓
[0.5729864835739136, 0.5194907784461975, 0.45344218611717224, 0.32803234457969666, 0.570637047290802]
[0.3495286703109741, 0.5307956337928772, 0.4841703772544861, 0.35259923338890076, 0.43128395080566406]
[0.43928033113479614, 0.5755216479301453, 0.43812182545661926, 0.28464990854263306, 0.4676651954650879]
[0.47660985589027405, 0.5484582781791687, 0.44076353311538696, 0.30281999707221985, 0.49935173988342285]
[0.5233075022697449, 0.5623696446418762, 0.41906145215034485, 0.2779529094696045, 0.5266181826591492]
[0.5296535491943359, 0.5651184320449829, 0.40707477927207947, 0.28380608558654785, 0.552150309085846]
[0.5126591920852661, 0.5759720802307129, 0.4152299463748932, 0.2810848355293274, 0.5174343585968018]
[0.5283255577087402, 0.570838987827301, 0.4347362816333771, 0.2863808274269104, 0.5060313940048218]
[0.3137812912464142, 0.5486873984336853, 0.43560394644737244, 0.283470094203949, 0.4484351873397827]
[0.4884193241596222, 0.5547987818717957, 0.44105055928230286, 0.33086085319519043, 0.5237193703651428]
[0.505430281162262, 0.5304015278816223, 0.48290932178497314, 0.3567131757736206, 0.5113354325294495]
[0.35908403992652893, 0.5653815865516663, 0.43774640560150146, 0.29879966378211975, 0.45398029685020447]
[0.47420111298561096, 0.5260127782821655, 0.4432321786880493, 0.2994011342525482, 0.4728241562843323]
[0.408581018447876, 0.5396274924278259, 0.47737622261047363, 0.37719815969467163, 0.48423269391059875]
[0.5332931876182556, 0.5698338150978088, 0.4159034490585327, 0.2934318780899048, 0.5516341328620911]
[0.4719722270965576, 0.5809810757637024, 0.43676331639289856, 0.2720564305782318, 0.5050686597824097]
[0.5399795770645142, 0.565304696559906, 0.417420893907547, 0.2833799719810486, 0.5642856359481812]
[0.39570438861846924, 0.5580840110778809, 0.42668503522872925, 0.258044570684433, 0.4613497853279114]
[0.4851851165294647, 0.5950251221656799, 0.4224960207939148, 0.2763690948486328, 0.5174567103385925]
[0.5090556740760803, 0.5509763956069946, 0.4230382740497589, 0.3224637508392334, 0.5372794270515442]
[0.40724778175354004, 0.5511065721511841, 0.4511261582374573, 0.3084758520126343, 0.4668717682361603]
[0.5363668203353882, 0.5762206315994263, 0.40358951687812805, 0.2654739320278168, 0.5701033473014832]
[0.5396254658699036, 0.5846620798110962, 0.4043203890323639, 0.26188117265701294, 0.5680618286132812]
[0.5773023962974548, 0.5905054211616516, 0.41279199719429016, 0.2563103437423706, 0.5821815729141235]
[0.561420202255249, 0.5272449254989624, 0.4706844687461853, 0.3675568699836731, 0.5911771655082703]
[0.4694294333457947, 0.5873739123344421, 0.42910826206207275, 0.2743586599826813, 0.48868998885154724]
[0.5002909302711487, 0.5619198679924011, 0.4235175549983978, 0.3109772801399231, 0.5111813545227051]
[0.4886445701122284, 0.5585870146751404, 0.44820430874824524, 0.2777501344680786, 0.5341088771820068]
[0.5180747509002686, 0.5651674270629883, 0.4311272203922272, 0.25532153248786926, 0.5290796756744385]
[0.5491945147514343, 0.5717892646789551, 0.4101543128490448, 0.2696748971939087, 0.5636406540870667]
[0.5541961789131165, 0.56734299659729, 0.39153534173965454, 0.26031261682510376, 0.5646125674247742]
