1
大家買牙膏請留心,买牙膏时注意牙膏管反面底部的颜色条,尽量选择绿色和蓝色.共分4种:绿、蓝、红、黑. 绿色:纯天然； 蓝色:天然+药物； 红色:天然+化学成分； 黑色:纯化学。 亲们,快去查查自家的牙膏管底部的颜色吧
[0.4877435564994812, 0.5572373270988464, 0.4720708727836609, 0.33164697885513306, 0.5453320741653442]
[0.3902912437915802, 0.5470037460327148, 0.49147963523864746, 0.365439236164093, 0.44513121247291565]
[0.46004512906074524, 0.5271114110946655, 0.46538621187210083, 0.33556121587753296, 0.48520901799201965]
[0.5338190793991089, 0.5624887943267822, 0.44700121879577637, 0.30067986249923706, 0.49146270751953125]
[0.5022760033607483, 0.5687487125396729, 0.4201003909111023, 0.2936556041240692, 0.5256601572036743]
[0.5481877326965332, 0.5946312546730042, 0.4127618074417114, 0.24726763367652893, 0.5697609186172485]
[0.47312498092651367, 0.5578739047050476, 0.4525187611579895, 0.3059018552303314, 0.5203391909599304]
[0.49671345949172974, 0.5556381940841675, 0.42723914980888367, 0.29054683446884155, 0.5279923677444458]
[0.47312498092651367, 0.5578739047050476, 0.4525187611579895, 0.3059018552303314, 0.5203391909599304]
[0.45100247859954834, 0.5756615996360779, 0.44380664825439453, 0.31650909781455994, 0.4928966462612152]
[0.538105845451355, 0.5879831314086914, 0.41182050108909607, 0.26826104521751404, 0.5607741475105286]
[0.47852998971939087, 0.5621502995491028, 0.4278840124607086, 0.25901612639427185, 0.5101984143257141]
[0.5040836334228516, 0.5735085010528564, 0.440506249666214, 0.28325366973876953, 0.5249915719032288]
[0.48665598034858704, 0.5209435224533081, 0.5052252411842346, 0.3971936106681824, 0.5532517433166504]
[0.4257791042327881, 0.5380538105964661, 0.49467507004737854, 0.35340163111686707, 0.5163219571113586]
[0.4639928340911865, 0.5278376340866089, 0.4465045630931854, 0.3127412796020508, 0.4756515622138977]
[0.5400903820991516, 0.5835076570510864, 0.4344645142555237, 0.26322659850120544, 0.5375416874885559]
[0.5013630986213684, 0.5778620839118958, 0.43665963411331177, 0.28580397367477417, 0.5495743155479431]
[0.42648065090179443, 0.5491641759872437, 0.46462586522102356, 0.329435259103775, 0.47772184014320374]
[0.5010088682174683, 0.5802630186080933, 0.4390854835510254, 0.2608076333999634, 0.568756103515625]
[0.46691593527793884, 0.5649632811546326, 0.41691064834594727, 0.2723037600517273, 0.515722393989563]
[0.47331804037094116, 0.5309200286865234, 0.4595101773738861, 0.30719131231307983, 0.4894025921821594]
[0.4827463626861572, 0.5627195835113525, 0.4493504464626312, 0.2979283928871155, 0.5084916949272156]
[0.4487622082233429, 0.5716210603713989, 0.4600348174571991, 0.3031274080276489, 0.45275557041168213]
[0.46147117018699646, 0.5517545938491821, 0.4980892539024353, 0.3506879508495331, 0.5147058963775635]
[0.4786498248577118, 0.5527429580688477, 0.477219820022583, 0.3200245797634125, 0.49582165479660034]
[0.4564726948738098, 0.5699160695075989, 0.45797473192214966, 0.3263258635997772, 0.47416433691978455]
[0.46706146001815796, 0.541976809501648, 0.4929439127445221, 0.34251317381858826, 0.5312259197235107]
[0.3942481279373169, 0.575048565864563, 0.45356714725494385, 0.3022463619709015, 0.44441524147987366]
[0.49506404995918274, 0.5680714845657349, 0.4262699782848358, 0.3143731653690338, 0.5104700922966003]
[0.4487622082233429, 0.5716210603713989, 0.4600348174571991, 0.3031274080276489, 0.45275557041168213]
[0.43259313702583313, 0.5864244103431702, 0.46693485975265503, 0.309617280960083, 0.5177777409553528]
[0.4759199023246765, 0.55116206407547, 0.41566169261932373, 0.2708980441093445, 0.5312261581420898]
