1
安利老板死了！就在前几天，2013年10月16日，安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,吃了27年纽崔莱,为美国人赚了27年钱。 安利大师超凡创办人王慈官《远离贫穷》《完整的植物是最好的药物》作者，于2006年7月2...(全文见图，分享自 iPhone客户端)
[0.5239531993865967, 0.5277894139289856, 0.44456514716148376, 0.3134404718875885, 0.5328380465507507]
[0.5267496109008789, 0.5558483600616455, 0.4383186101913452, 0.2892771363258362, 0.5543842911720276]
[0.48000863194465637, 0.5712236762046814, 0.4459613561630249, 0.34483790397644043, 0.5019471645355225]
[0.4609595239162445, 0.5569418668746948, 0.4574459493160248, 0.309091180562973, 0.5067563652992249]
[0.38613420724868774, 0.5626964569091797, 0.4346226453781128, 0.29786351323127747, 0.4489196538925171]
[0.47605836391448975, 0.5633770823478699, 0.46412086486816406, 0.2718195617198944, 0.4992714524269104]
[0.4729751646518707, 0.5572808980941772, 0.4541073143482208, 0.32083067297935486, 0.5177016258239746]
[0.4762817621231079, 0.5141531825065613, 0.47673630714416504, 0.40634870529174805, 0.5162114500999451]
[0.4482298791408539, 0.5543648600578308, 0.4414941668510437, 0.31369462609291077, 0.5073591470718384]
[0.45224225521087646, 0.5582879185676575, 0.46469390392303467, 0.32541826367378235, 0.4914768934249878]
[0.46752673387527466, 0.5211571455001831, 0.4563778340816498, 0.30852994322776794, 0.5163397192955017]
[0.46646997332572937, 0.5259057879447937, 0.4792448580265045, 0.38547658920288086, 0.5257212519645691]
[0.45329371094703674, 0.5688381195068359, 0.4289989769458771, 0.293609082698822, 0.4904572367668152]
[0.48946696519851685, 0.529022753238678, 0.5324692130088806, 0.4188424348831177, 0.48152512311935425]
[0.4607087969779968, 0.5443353056907654, 0.48709240555763245, 0.37264639139175415, 0.5169743299484253]
[0.5133227109909058, 0.5794464349746704, 0.4150134027004242, 0.29122549295425415, 0.5223665237426758]
[0.4487622082233429, 0.5716210603713989, 0.4600348174571991, 0.3031274080276489, 0.45275557041168213]
[0.4926353096961975, 0.5788597464561462, 0.43864086270332336, 0.2994866669178009, 0.48378247022628784]
[0.45337414741516113, 0.512215793132782, 0.559982419013977, 0.6108461022377014, 0.5217686295509338]
[0.49924588203430176, 0.5755974054336548, 0.4280608892440796, 0.2925751507282257, 0.5282785296440125]
[0.5285665988922119, 0.5597695708274841, 0.4587595760822296, 0.3241449296474457, 0.5273038148880005]
[0.5534600019454956, 0.5679066181182861, 0.4138675928115845, 0.297885537147522, 0.5562192797660828]
[0.560772716999054, 0.5739866495132446, 0.43356621265411377, 0.27929678559303284, 0.5623817443847656]
[0.5719072222709656, 0.5648873448371887, 0.40344545245170593, 0.2556637227535248, 0.5715213418006897]
