0
【每日经济】tvN新月火剧#奶酪陷阱#三位主演朴海镇,徐康俊,南柱赫将于19日举行fanmeeting与粉丝们首次会面.粉丝见面会上将公开该剧的预告影像及Making.相关人士表示"这次活动从拍摄之初就已经开始计划的特别行程,为报答粉丝对<奶酪陷阱>的特别支持而制作."
[0, 0, 0, 0, 0]
[0.5216098427772522, 0.5884116888046265, 0.4285047650337219, 0.2711139917373657, 0.5290003418922424]
[0.47294262051582336, 0.5470817685127258, 0.46514344215393066, 0.3206983506679535, 0.5010535717010498]
[0.43104320764541626, 0.5118719935417175, 0.5090149641036987, 0.43789294362068176, 0.4539925754070282]
[0.46169760823249817, 0.5779486298561096, 0.43069496750831604, 0.268181711435318, 0.4957713484764099]
[0.5677453875541687, 0.5271053314208984, 0.44186335802078247, 0.2823643684387207, 0.5830830335617065]
[0.49376097321510315, 0.5784465670585632, 0.44961032271385193, 0.29777878522872925, 0.49398910999298096]
[0.5525585412979126, 0.5894861817359924, 0.38839462399482727, 0.27089163661003113, 0.551239013671875]
[0.5149334073066711, 0.568336009979248, 0.41992583870887756, 0.3043612837791443, 0.5150802135467529]
[0.5025302171707153, 0.5512152910232544, 0.42621782422065735, 0.3022554814815521, 0.48848816752433777]
[0.4767844080924988, 0.566077709197998, 0.46055400371551514, 0.3330821394920349, 0.5261640548706055]
[0.5617616176605225, 0.5805113911628723, 0.4271945357322693, 0.27325335144996643, 0.5467243790626526]
[0.4111286401748657, 0.5653737187385559, 0.4557913839817047, 0.34598687291145325, 0.4454915225505829]
[0.4291393756866455, 0.5531584620475769, 0.4797506630420685, 0.4123895764350891, 0.431861013174057]
[0.4030536413192749, 0.5264734625816345, 0.4480683207511902, 0.3154256045818329, 0.4271283745765686]
[0.5244597792625427, 0.5673940777778625, 0.42901942133903503, 0.28732484579086304, 0.508772611618042]
[0.5851736068725586, 0.5938059091567993, 0.42068901658058167, 0.2529189884662628, 0.585243821144104]
[0.5005753040313721, 0.5278765559196472, 0.5146639943122864, 0.3712708652019501, 0.579597532749176]
[0.5001099109649658, 0.5631083250045776, 0.41920775175094604, 0.2896673083305359, 0.5115642547607422]
[0.5201964974403381, 0.5813158750534058, 0.43426093459129333, 0.2765119671821594, 0.5426637530326843]
[0.49376097321510315, 0.5784465670585632, 0.44961032271385193, 0.29777878522872925, 0.49398910999298096]
[0.4286641776561737, 0.5405986309051514, 0.4920015037059784, 0.3663463592529297, 0.4897868037223816]
[0.4551474452018738, 0.5594250559806824, 0.4404279887676239, 0.31014442443847656, 0.48843440413475037]
[0.5327263474464417, 0.5817615985870361, 0.41646724939346313, 0.2889164984226227, 0.5368857383728027]
[0.42645150423049927, 0.5705015659332275, 0.45968693494796753, 0.333151638507843, 0.4534297287464142]
[0.45402905344963074, 0.5241478681564331, 0.5081923604011536, 0.4220278263092041, 0.4840034246444702]
[0.5328186750411987, 0.5763200521469116, 0.421718567609787, 0.31001171469688416, 0.50726717710495]
[0.4534047544002533, 0.5680869817733765, 0.4463742673397064, 0.28655770421028137, 0.47658035159111023]
[0.5445343255996704, 0.5756952166557312, 0.42429104447364807, 0.2879742383956909, 0.5745342373847961]
[0.4823976159095764, 0.5816757678985596, 0.42907842993736267, 0.26661738753318787, 0.5421169400215149]
[0.4672773480415344, 0.5816954970359802, 0.434600830078125, 0.290563702583313, 0.4741157591342926]
[0.4693022668361664, 0.5557436347007751, 0.4508378505706787, 0.29121798276901245, 0.48668423295021057]
[0.46473076939582825, 0.5722624063491821, 0.431437224149704, 0.2860844135284424, 0.46760889887809753]
[0.4958488345146179, 0.5803532600402832, 0.4272656738758087, 0.2838987112045288, 0.5088582634925842]
[0.5462360382080078, 0.5881468653678894, 0.4231009781360626, 0.28235965967178345, 0.539649486541748]
[0.5191639065742493, 0.5678348541259766, 0.41850242018699646, 0.2859818637371063, 0.5388340950012207]
[0.5487837195396423, 0.5854249000549316, 0.44006282091140747, 0.30101490020751953, 0.5456512570381165]
[0.37886810302734375, 0.555226743221283, 0.45436567068099976, 0.32751014828681946, 0.44682079553604126]
[0.5003835558891296, 0.5466932058334351, 0.4549272954463959, 0.2832370102405548, 0.5196231007575989]
[0.49231457710266113, 0.566729724407196, 0.4299492835998535, 0.313326895236969, 0.4872554838657379]
[0.44410642981529236, 0.5616334676742554, 0.44812634587287903, 0.3228837251663208, 0.4683364927768707]
[0.3261907994747162, 0.5350730419158936, 0.44740933179855347, 0.31634747982025146, 0.43408986926078796]
[0.4860753118991852, 0.5542047619819641, 0.44932734966278076, 0.3258390724658966, 0.48249417543411255]
[0.42580461502075195, 0.5271801948547363, 0.4645289480686188, 0.3411555886268616, 0.429566890001297]
[0.4820467233657837, 0.5754424333572388, 0.43734946846961975, 0.30572396516799927, 0.49770766496658325]
[0.4835873544216156, 0.5445728898048401, 0.5046660304069519, 0.3708410859107971, 0.4990878105163574]
[0.514395534992218, 0.5521894693374634, 0.4549267888069153, 0.29017576575279236, 0.5310298204421997]
[0.49819183349609375, 0.5695810914039612, 0.4092336595058441, 0.28381651639938354, 0.5330636501312256]
[0.5170793533325195, 0.5594031810760498, 0.42611178755760193, 0.30122610926628113, 0.5290887355804443]
[0.49819183349609375, 0.5695810914039612, 0.4092336595058441, 0.28381651639938354, 0.5330636501312256]
[0.5040166974067688, 0.5749642252922058, 0.4256442189216614, 0.256921648979187, 0.530798614025116]
[0.5867487788200378, 0.5488308668136597, 0.4402705132961273, 0.29964518547058105, 0.54783695936203]
[0.4232633113861084, 0.5653437972068787, 0.4592212736606598, 0.32684847712516785, 0.49866071343421936]
[0.39852288365364075, 0.5398283004760742, 0.46745073795318604, 0.3305378258228302, 0.45733311772346497]
[0.4665994644165039, 0.5620040893554688, 0.4587613046169281, 0.31353864073753357, 0.49089521169662476]
[0.44113391637802124, 0.5766664743423462, 0.4449619650840759, 0.3055790066719055, 0.4628888666629791]
[0.5202807188034058, 0.5672861933708191, 0.43830010294914246, 0.31691744923591614, 0.5500832796096802]
[0.4833779036998749, 0.5625263452529907, 0.44757163524627686, 0.3005636930465698, 0.5138128399848938]
[0.5243019461631775, 0.5689197182655334, 0.45661044120788574, 0.3021705150604248, 0.5309323668479919]
[0.5070725679397583, 0.5795678496360779, 0.4309682846069336, 0.25872695446014404, 0.538472592830658]
[0.45251762866973877, 0.548230767250061, 0.4631712734699249, 0.34744954109191895, 0.4513906240463257]
[0.5573930144309998, 0.5587666034698486, 0.4363841414451599, 0.3255440294742584, 0.5452938079833984]
[0.47867724299430847, 0.5676136016845703, 0.4222782850265503, 0.3039664328098297, 0.506288468837738]
[0.5008715391159058, 0.5744022727012634, 0.43306371569633484, 0.30567771196365356, 0.5136376619338989]
[0.47454333305358887, 0.5732644200325012, 0.44564664363861084, 0.2829608917236328, 0.500317394733429]
[0.44114455580711365, 0.5294841527938843, 0.4817065894603729, 0.3881322741508484, 0.4482143819332123]
[0.5467809438705444, 0.5961134433746338, 0.4282665252685547, 0.2732730507850647, 0.5487620830535889]
[0.501532793045044, 0.5614579319953918, 0.45286911725997925, 0.3413645327091217, 0.48810046911239624]
[0.5409786701202393, 0.5902374982833862, 0.41063427925109863, 0.2756636440753937, 0.5499407649040222]
[0.43934714794158936, 0.5471434593200684, 0.4884285628795624, 0.3250734806060791, 0.46515119075775146]
[0.577574610710144, 0.5764400959014893, 0.4048956334590912, 0.25880733132362366, 0.5527929067611694]
[0.4910692572593689, 0.5734441876411438, 0.4381793141365051, 0.28653550148010254, 0.4831450581550598]
[0.3565588593482971, 0.5049576163291931, 0.5127406120300293, 0.4424946904182434, 0.42473727464675903]
[0.5091456770896912, 0.5444322228431702, 0.4463410973548889, 0.28922024369239807, 0.5295262932777405]
[0.5168702602386475, 0.5846084952354431, 0.4156687259674072, 0.2930418848991394, 0.509899377822876]
[0.4820467233657837, 0.5754424333572388, 0.43734946846961975, 0.30572396516799927, 0.49770766496658325]
[0.4408210515975952, 0.5522642731666565, 0.4282560646533966, 0.31690216064453125, 0.49657124280929565]
[0.46009397506713867, 0.571377694606781, 0.44005638360977173, 0.2868129312992096, 0.49163955450057983]
[0.510179877281189, 0.5843017101287842, 0.428205281496048, 0.2813164293766022, 0.5392125844955444]
[0.3856129050254822, 0.546072781085968, 0.45322421193122864, 0.30682113766670227, 0.45181480050086975]
[0.49087557196617126, 0.542522668838501, 0.45526137948036194, 0.3369161784648895, 0.46671777963638306]
[0.35913822054862976, 0.5491267442703247, 0.44009387493133545, 0.3075312376022339, 0.42927420139312744]
[0.45997297763824463, 0.5813735723495483, 0.454424649477005, 0.29284924268722534, 0.49770501255989075]
[0.5309842824935913, 0.5438691973686218, 0.45078831911087036, 0.30151015520095825, 0.5403450131416321]
[0.527854323387146, 0.5857251286506653, 0.42558375000953674, 0.27191784977912903, 0.5264109373092651]
[0.5369259119033813, 0.5546229481697083, 0.4557896554470062, 0.301961213350296, 0.5491035580635071]
[0.3787872791290283, 0.5571731925010681, 0.4562934339046478, 0.33014950156211853, 0.44285401701927185]
[0.46309325098991394, 0.5874428153038025, 0.43864911794662476, 0.2807779312133789, 0.5027848482131958]
[0.5140373706817627, 0.5706015229225159, 0.4429382383823395, 0.27210554480552673, 0.527904748916626]
[0.4315827488899231, 0.5782203674316406, 0.43549492955207825, 0.27632737159729004, 0.496600478887558]
[0.48984572291374207, 0.5741526484489441, 0.41389867663383484, 0.2651713192462921, 0.5375138521194458]
[0.4506082534790039, 0.5541519522666931, 0.4421940743923187, 0.3064112067222595, 0.4766113758087158]
[0.3321593105792999, 0.5461981296539307, 0.48113471269607544, 0.39414942264556885, 0.41246193647384644]
[0.43943846225738525, 0.5605123043060303, 0.4749492108821869, 0.3150901198387146, 0.4997904598712921]
[0.6407794952392578, 0.5526632070541382, 0.3897344768047333, 0.2576867640018463, 0.6169785261154175]
[0.4917965829372406, 0.5642513632774353, 0.44473153352737427, 0.292820006608963, 0.504958987236023]
[0.5322587490081787, 0.5802190899848938, 0.45864179730415344, 0.29981231689453125, 0.5530796051025391]
[0.35005369782447815, 0.548804759979248, 0.45135074853897095, 0.3015742003917694, 0.4178348481655121]
[0.5695824027061462, 0.5913827419281006, 0.39797863364219666, 0.24258744716644287, 0.5830118656158447]
[0.3964848220348358, 0.5345805883407593, 0.4798212945461273, 0.3312298059463501, 0.4637017846107483]
[0.45492807030677795, 0.5753506422042847, 0.4385533928871155, 0.2849968373775482, 0.4985061287879944]
